investorName,entityName,roundSizeUsd,round,totalInvested
Qiming Venture Partners,MEGVII,100000000,Series C,122000000
Sinovation Ventures,MEGVII,100000000,Series C,122000000
Foxconn Tec. Group,MEGVII,100000000,Series C,650987842
HSBC Bank Singapore,Atome,100000000,Debt Financing,400000000
HSBC Bank Singapore,Atome,100000000,Debt Financing,400000000
StepStone Group,Immuta,100000000,Series E,160000000
Alven,Stripe,100000000,Series C,804673743
Alven,Stripe,100000000,Series C,804673743
Alven,Stripe,100000000,Series C,804673743
PSG,Bitwarden,100000000,Series B,100000000
Hanaco Venture Capital,Amount,99000000,Series D,453000000
50 South Capital,Amount,99000000,Series D,189000000
Invus,Amount,99000000,Series D,980000000
Contrary,Stytch,90000000,Series B,236000000
Contrary,Stytch,90000000,Series B,236000000
Hanaco Venture Capital,Amount,86000000,Series C,453000000
Invus,Amount,86000000,Series C,980000000
01 Advisors,Tipalti,76000000,Series D,516794686
Foxconn Tec. Group,AISpeech,75987842,Series D,650987842
MediaTek,AISpeech,75987842,Series D,75987842
Updata Partners,FusionAuth,65000000,Venture - Series Unknown,97500000
Sherpa,Trusting Social Co.,65000000,Series C,65000000
Wellington Capital Management,The Trade Desk,60000000,Venture - Series Unknown,60000000
Mercato Partners,Domo,60000000,Series B,194000000
GoldStone Invest.,AISpeech,58189869,Series E,58189869
CTC Capital,AISpeech,58189869,Series E,58189869
Sean Bill,Amount,58000000,Series B,60800000
Dragon Capital,PerimeterX,57000000,Series D,425700000
Contrary,Secureframe,56000000,Series B,236000000
Impatient Ventures,Secureframe,56000000,Series B,62500000
Flexport,Secureframe,56000000,Series B,56000000
Optum Ventures,Secureframe,56000000,Series B,56000000
Kaiser Permanente,Secureframe,56000000,Series B,56000000
Ash Devata,Secureframe,56000000,Series B,144000000
Jonathan Oberheide,Secureframe,56000000,Series B,56000000
Finch Capital,Fourthline,54312110,Series B,80175492
Oxford Capital Partners,Red Sift,54000000,Series B,69836215
MMC Ventures,Red Sift,54000000,Series B,84949556
Section 32,Gretel,52199996,Series B,110199996
UiPath Ventures,airSlate,51500000,Series C,51500000
The General Partnership,Sardine,51500000,Series B,81500000
HV Capital,Yapily,51000000,Series B,136853554
Moxxie Ventures,Certn,50000000,Series B,105236690
Scribble Ventures,Certn,50000000,Series B,100794686
Zoom,Theta Lake,50000000,Series B,50000000
RingCentral Ventures,Theta Lake,50000000,Series B,50000000
Curql,Zest AI,50000000,Venture - Series Unknown,153100000
Covalent Ventures,Certn,50000000,Series B,80000000
Hedosophia,VIDA,47670000,Series A,581498122
Future Shape,VIDA,47670000,Series A,47670000
DST Global,VIDA,47670000,Series A,2216498117
Peterson Ventures,WithClutch,41000000,Series A,86500000
Peterson Ventures,Clutch,41000000,Series A,86500000
Kaszek,Pomelo,40000000,Series B,78300000
Hanaco Venture Capital,Amount,40000000,Private Equity,453000000
Victory Park Capital,Tala,40000000,Debt Financing,579729439
Section 32,Pomelo,40000000,Series B,110199996
Brighton Park Capital,DataVisor,40000000,Venture - Series Unknown,358108584
Brighton Park Capital,DataVisor,40000000,Venture - Series Unknown,358108584
Overture VC,Xage Security,39000000,Series B,65000000
Joey Low,EverC,35882200,Series B,39382200
Maor Invest.,EverC,35882200,Series B,166882200
Electric Capital,Spruce,34000000,Series A,71400000
Transmedia Capital,Domo,33000000,Series A,33000000
LendingTree,EarnUp,31000000,Series C,31000000
Keybank,EarnUp,31000000,Series C,161000000
Moxxie Ventures,Certn,30000000,Series B,105236690
Scribble Ventures,Certn,30000000,Series B,100794686
Hanaco Venture Capital,Amount,30000000,Private Equity,453000000
Hanaco Venture Capital,Amount,30000000,Private Equity,453000000
Equable Capital,OCR Labs,30000000,Series B,60000000
Hashed,Humanity Protocol,30000000,Seed,57280000
Curql,Amount,30000000,Private Equity,153100000
Curql,Amount,30000000,Private Equity,153100000
Brighton Park Capital,AppViewX,30000000,Series A,358108584
Next Play Ventures,Truework,30000000,Series B,72850000
Covalent Ventures,Certn,30000000,Series B,80000000
Base10 Partners,Okendo,26000000,Series A,98500000
Innovating Capital,Strata Identity,26000000,Series B,283300000
Harvey Golub,Pagaya Invest.,25000000,Series C,141000000
Clal Insurance Enterprises Holdings,Pagaya Invest.,25000000,Series C,141000000
Ibex Investors,Zimperium,25000000,Series C,83000000
GF Invest.,Pagaya Invest.,25000000,Series C,141000000
LDV Partners,Alcatraz AI,25000000,Series A,78200000
Curql,Zest AI,23000000,Funding Round,153100000
Qiming Venture Partners,MEGVII,22000000,Series B,122000000
Sinovation Ventures,MEGVII,22000000,Series B,122000000
Moxxie Ventures,Certn,20794686,Series A,105236690
01 Advisors,Certn,20794686,Series A,516794686
Scribble Ventures,Certn,20794686,Series A,100794686
Hummer Winblad Venture Partners,Domo,20000000,Series A,155000000
Updata Partners,Shufti Pro,20000000,Series A,97500000
Eastward Capital Partners,Zest AI,20000000,Series C,32000000
Brighton Park Capital,AppViewX,20000000,Series B,358108584
Overture VC,Xage Security,20000000,Series B,65000000
Hanaco Venture Capital,Guardz,18000000,Series A,453000000
Base10 Partners,Secureframe,18000000,Series A,98500000
Section 32,Pomelo,18000000,Series A,110199996
Elon Musk,Stripe,18000000,Series A,280000000
Elon Musk,Stripe,18000000,Series A,280000000
Elon Musk,Stripe,18000000,Series A,280000000
Finch Capital,Fourthline,17324781,Series A,80175492
Next Play Ventures,Evervault,16200000,Series A,72850000
Harpoon,LeapYear Tec.,15000000,Venture - Series Unknown,115000000
Harvey Golub,Pagaya Invest.,14000000,Series B,141000000
Clal Insurance Enterprises Holdings,Pagaya Invest.,14000000,Series B,141000000
GF Invest.,Pagaya Invest.,14000000,Series B,141000000
Tom Noonan,Evident ,14000000,Series C,30600000
Mindset Ventures,D-ID,13500000,Series A,34300000
MMC Ventures,BotGuard,13113722,Series A,84949556
HV Capital,Yapily,13000000,Series A,136853554
Eastward Capital Partners,PayRange,12000000,Series A,32000000
Ibex Investors,Zimperium,12000000,Series B,83000000
Hashed,NuCypher,10700000,Venture - Series Unknown,57280000
Hashed,NuCypher,10680000,Initial Coin Offering,57280000
Hummer Winblad Venture Partners,Domo,10000000,Angel,155000000
Atlas Benjelloun,Cloudflare,10000000,Series A,160000000
Curql,Facteus,10000000,Venture - Series Unknown,153100000
Curql,Allure Security,10000000,Series A,153100000
Tom Noonan,Tugboat Logic,9300000,Series A,30600000
Mercato Partners,Device Authority,9000000,Series A,194000000
Oxford Capital Partners,Red Sift,8836215,Series A,69836215
MMC Ventures,Red Sift,8836215,Series A,84949556
Ibex Investors,Zimperium,8000000,Series A,83000000
LDV Partners,Alcatraz AI,8000000,Venture - Series Unknown,78200000
Electric Capital,Spruce,7500000,Seed,71400000
Tom Noonan,Deduce,7300000,Seed,30600000
Innovating Capital,Deduce,7300000,Seed,283300000
LDV Partners,Alcatraz AI,6100000,Venture - Series Unknown,78200000
Overture VC,Xage Security,6000000,Series B,65000000
HV Capital,Yapily,5400000,Seed,136853554
Mindset Ventures,D-ID,5300000,Convertible Note,34300000
Oxford Capital Partners,Zamna,5000000,Seed,69836215
Base10 Partners,Secureframe,4500000,Seed,98500000
Peterson Ventures,DataFleets,4500000,Seed,86500000
Moxxie Ventures,Certn,4442004,Seed,105236690
Reciprocal Ventures,NuCypher,4400000,Venture - Series Unknown,32400000
Hashed,NuCypher,4400000,Venture - Series Unknown,57280000
Kenetic,NuCypher,4400000,Venture - Series Unknown,192900000
B Capital Group,Obviously AI,4100000,Venture - Series Unknown,81100000
Joey Low,EverC,3500000,Series A,39382200
Kaszek,Truora,3300000,Seed,78300000
Chiratae Ventures,Fintellix Solutions,3230000,Series A,143230000
Finch Capital,Fourthline,3000000,Seed,80175492
Polytech Ventures,Inpher.io,3000000,Seed,36634270
212,Insider,2200000,Series A,146200000
Oxford Capital Partners,Red Sift,2000000,Seed,69836215
Elon Musk,Stripe,2000000,Seed,280000000
Elon Musk,Stripe,2000000,Seed,280000000
Elon Musk,Stripe,2000000,Seed,280000000
Hashed,Humanity Protocol,1500000,Pre-Seed,57280000
Polytech Ventures,Inpher.io,1000000,Seed,36634270
Riyad Bank,Mastercard,1000000,Series A,126000000
BDMI,Sensity,802156,Seed,35802156
Alven,Mention,800000,Seed,804673743
Curql,Privacy Lock,100000,Pre-Seed,153100000
