investorName,investorType,entityName,roundSizeUsd,round,totalInvested
Hashed,entity,NuCypher,10680000,Initial Coin Offering,57280000
Hummer Winblad Venture Partners,entity,Domo,10000000,Angel,155000000
Curql,entity,Facteus,10000000,Venture - Series Unknown,153100000
Curql,entity,Allure Security,10000000,Series A,153100000
Mercato Partners,entity,Device Authority,9000000,Series A,194000000
Oxford Capital Partners,entity,Red Sift,8836215,Series A,69836215
MMC Ventures,entity,Red Sift,8836215,Series A,84949556
Ibex Investors,entity,Zimperium,8000000,Series A,83000000
LDV Partners,entity,Alcatraz AI,8000000,Venture - Series Unknown,78200000
Electric Capital,entity,Spruce,7500000,Seed,71400000
Innovating Capital,entity,Deduce,7300000,Seed,283300000
LDV Partners,entity,Alcatraz AI,6100000,Venture - Series Unknown,78200000
Overture VC,entity,Xage Security,6000000,Series B,65000000
HV Capital,entity,Yapily,5400000,Seed,136853554
Mindset Ventures,entity,D-ID,5300000,Convertible Note,34300000
Oxford Capital Partners,entity,Zamna,5000000,Seed,69836215
Base10 Partners,entity,Secureframe,4500000,Seed,98500000
Peterson Ventures,entity,DataFleets,4500000,Seed,86500000
Moxxie Ventures,entity,Certn,4442004,Seed,105236690
Reciprocal Ventures,entity,NuCypher,4400000,Venture - Series Unknown,32400000
Hashed,entity,NuCypher,4400000,Venture - Series Unknown,57280000
Kenetic,entity,NuCypher,4400000,Venture - Series Unknown,192900000
B Capital Group,entity,Obviously AI,4100000,Venture - Series Unknown,81100000
Kaszek,entity,Truora,3300000,Seed,78300000
Chiratae Ventures,entity,Fintellix Solutions,3230000,Series A,143230000
Finch Capital,entity,Fourthline,3000000,Seed,80175492
Polytech Ventures,entity,Inpher.io,3000000,Seed,36634270
212,entity,Insider,2200000,Series A,146200000
Oxford Capital Partners,entity,Red Sift,2000000,Seed,69836215
Hashed,entity,Humanity Protocol,1500000,Pre-Seed,57280000
Polytech Ventures,entity,Inpher.io,1000000,Seed,36634270
Riyad Bank,entity,Mastercard,1000000,Series A,126000000
BDMI,entity,Sensity,802156,Seed,35802156
Alven,entity,Mention,800000,Seed,804673743
Curql,entity,Privacy Lock,100000,Pre-Seed,153100000
